standing,team,games,wins,draws,losses,scored,missed,points,home_wins,home_draws,home_losses,home_scored,home_missed,home_points,away_wins,away_draws,away_losses,away_scored,away_missed,away_points
8,26,15,6,4,5,20,17,22,5,2,1,13,5,17,1,2,4,7,12,5
9,15,15,6,3,6,19,19,21,3,3,2,7,6,12,3,0,4,12,13,9
10,27,15,6,3,6,18,21,21,3,1,4,9,9,10,3,2,2,9,12,11
11,2,15,5,4,6,10,19,19,2,2,3,6,10,8,3,2,3,4,9,11
12,11,15,4,6,5,24,23,18,2,3,2,13,13,9,2,3,3,11,10,9
13,24,15,5,3,7,17,20,18,3,1,3,9,9,10,2,2,4,8,11,8
14,25,15,2,9,4,13,23,15,1,5,2,8,11,8,1,4,2,5,12,7
15,10,15,3,5,7,18,23,14,2,1,4,8,10,7,1,4,3,10,13,7
16,28,15,3,5,7,14,20,14,1,3,4,11,13,6,2,2,3,3,7,8
17,20,15,4,2,9,16,27,14,4,2,2,14,10,14,0,0,7,2,17,0
18,13,15,2,7,6,15,21,13,1,3,3,8,10,6,1,4,3,7,11,7
19,7,15,2,6,7,10,24,12,1,4,3,6,11,7,1,2,4,4,13,5
20,14,15,2,4,9,15,26,10,1,4,2,11,12,7,1,0,7,4,14,3

1,9,16,12,3,1,36,13,39,8,0,0,20,3,24,4,3,1,16,10,15
2,16,16,11,3,2,33,14,36,5,1,1,12,5,16,6,2,1,21,9,20
3,17,16,9,4,3,29,17,31,7,1,1,19,6,22,2,3,2,10,11,9
4,29,16,8,4,4,27,19,28,5,1,2,12,7,16,3,3,2,15,12,12
5,23,16,8,2,6,25,13,26,5,1,2,18,6,16,3,1,4,7,7,10
6,1,16,7,5,4,28,19,26,4,3,1,16,9,15,3,2,3,12,10,11
7,27,16,7,3,6,20,22,24,3,1,4,9,9,10,4,2,2,11,13,14
8,18,16,6,5,5,18,22,23,4,2,1,10,8,14,2,3,4,8,14,9
9,26,16,6,4,6,21,19,22,5,2,2,14,7,17,1,2,4,7,12,5
10,11,16,5,6,5,27,24,21,3,3,2,16,14,12,2,3,3,11,10,9
11,15,16,6,3,7,19,22,21,3,3,2,7,6,12,3,0,5,12,16,9
12,24,16,5,4,7,18,21,19,3,1,3,9,9,10,2,3,4,9,12,9
13,2,16,5,4,7,10,20,19,2,2,3,6,10,8,3,2,4,4,10,11
14,28,16,4,5,7,15,20,17,2,3,4,12,13,9,2,2,3,3,7,8
15,25,16,2,10,4,14,24,16,1,6,2,9,12,9,1,4,2,5,12,7
16,10,16,3,6,7,19,24,15,2,2,4,9,11,8,1,4,3,10,13,7
17,7,16,3,6,7,11,24,15,2,4,3,7,11,10,1,2,4,4,13,5
18,20,16,4,2,10,17,30,14,4,2,2,14,10,14,0,0,8,3,20,0
19,13,16,2,7,7,15,23,13,1,3,3,8,10,6,1,4,4,7,13,7
20,14,16,2,4,10,15,27,10,1,4,3,11,13,7,1,0,7,4,14,3

1,9,17,13,3,1,38,13,42,8,0,0,20,3,24,5,3,1,18,10,18
